V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V29,V30
129.82,68.15,127.13,112.82,39.28,76.87,96.96,64.56,114.79,166.73,33.92,123.64,111.04,59.41,110.51,89.27,71.06
150.84,84.41,268.75,138.59,43.53,99.06,119.04,86.28,154.49,143.83,49.02,148.79,116.13,80.34,149.79,128.94,81.24
199.88,149.98,325.34,239.82,76.8,165.51,210.06,174.21,252.64,265.02,127.12,230.06,210.43,152.13,287.42,247.46,168.91
105.6,67.99,192.19,126.81,35.45,78.51,99.23,69.5,138.11,130.01,53.11,117.25,111.3,75.81,142.07,126.93,84.76
117.99,65.57,214.17,160.49,39.97,87.94,119.6,75.32,152.12,138.35,89.34,121.92,111.97,87.37,170.9,142.07,91.17
121.41,80.72,182.66,127.59,47.21,150.96,106.39,66.34,110.32,141.65,127.24,134.78,140.38,85.69,157.25,135.53,93.54
144.59,79.92,232.17,156.29,63.05,140.52,116.21,88.71,177.26,155.24,107.88,179.89,172.69,101.75,165.78,137.98,114.12
185.35,107.83,325.69,215.49,73.4,177.65,179.69,115.52,260.1,200.44,108.58,214.86,184.62,110.97,255.09,193.53,130.56
214.2,125.53,342.92,254.42,87.05,207.9,189,133.02,271.53,222.25,195.46,246.1,217.77,134.86,283.08,218.61,159.24
170.63,94.28,280.65,213.14,65.99,185.04,152.4,109.75,225.61,178.81,156.01,147.23,171.36,93.84,224.86,162.57,130.62
141.09,82.42,215.75,146.52,50.54,124.35,127.85,72.28,159.9,122.11,92.03,183.62,120.79,82.62,149.7,121.38,81.08
157.52,109.62,226.41,132.89,45.31,141.14,138.32,97.95,180.71,122.26,96.46,191.14,118.78,84.32,149.67,125.83,86.34
171.69,109.35,231.24,152.07,53.87,135.48,144.63,90.3,167.13,154.45,106.01,159.97,164.3,94.61,169.74,138.32,103.46
192.92,117.94,278.13,191.22,67.49,156.77,177.7,96.54,257.02,157.16,141.34,140.42,187.42,104.48,221.05,176.82,137.4
182.93,132.18,296.92,218.38,69.5,173.98,197.77,108.67,255.27,155.69,177.6,233.83,195.21,98.5,236.58,175.67,128.14
216.9,129.95,275.97,205.19,61.32,183.19,177.91,117.2,201.91,164.51,136.57,210.91,183.43,120.7,213.53,196.38,144.05
227.29,146.12,265.95,228.68,72.65,199.54,235.1,129.75,221.35,206.08,167.91,227.81,221.21,137.23,252.47,224.41,168.47
188.88,114.91,268.7835773,246.47,64.73,214.85,215.24,142.32,219.1,267.3,158.13,218.89,213.88,149.74,247.04,240.1,161.79
185.11,121.75,281.35,141.02,50.06,150.49,170.54,103.37,150.09,158.21,86,188.97,151.31,140.12,159.16,135.06,111.08
127.51,91.43,231.65,154.6,45.26,130.93,111.64,75.35,144.18,143.01,115.85,144.02,127.33,92.78,201.75,137.07,96.89
137.95,88.19,210.49,152.53,42.01,152.36,131.74,88.01,178.4,128.05,121.15,172.41,107.89,68.31,197.47,112.53,75.13
181.6,115.13,252.39,191.13,56.86,162.45,173.76,111.19,178.83,139.94,174.11,180.44,170.75,100.69,192.87,154.4,109.89
160.79,113.59,263.34,187.77,56.25,196.46,183.75,114.38,225.69,154.15,123.48,189.51,150.65,116.41,203.29,137.49,95.31
143.13,97.42,234.47,144.47,44.02,133.73,141.08,85.85,149.12,118.78,94.43,137.19,129.22,81,141.5,109.85,75.37
129.01,82.29,203.11,142.71,38.21,137.51,135.99,64.42,151.55,99.46,111.19,137.33,117.91,63.77,167.95,122.68,74.02
193.74,141.87,294.55,200.99,75.61,174.2,194.11,133.18,178.98,151.52,105.97,213.13,202.96,130.22,203.49,192.5,131.84
212.99,165.72,294.22,212.9,65.32,189.17,215.85,127.03,183.9022975,157.51,107.37,172.75,196.25,140.3,232.96,182.63,129.96
199.64,159.16,313.86,229.08,65.69,198.33,206.14,126.66,191.6707113,165.38,104.18,179.79,190.98,115.6,253.26,211.49,127.17
187.08,139.96,325.3,226.54,58.85,195.78,211.11,111.28,199.4391251,151.44,101.61,165.61,170.12,91.47,224.58,202.45,116.74
208.62,155.06,292.74,235.6,75.3,200.51,226.77,143.54,207.2075389,164.49,107.28,190.43,227.22,131.11,245.08,224,127.02
173.53,127.2,253.75,184.59,54.66,177.7,185.82,136.99,211.23,134.05,102.01,215.65,156.08,133.19,194.87,151.96,109.2
194.36,144.62,288.22,193.01,65.34,172.4,181.36,138.02,217.04,167.31,105.46,188.53,205.66,139.61,213.93,176.36,131.64
