V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V28,V29,V30
74.33,49.76,106.15,47.52,41.68,92.63,71.4,53.16,75.46,117.86,106.2,71.01,89.63,62.36,67.37,53.29,65.75,73.1
63.87,52.49,106.27,49.73031558,27.18,81.22,64.69,49.65,39.88,92.32,36.86,70.34,63.81,57.58,43.91,62.39,55.57,50.81
41.91,40.55,89.82,45.33937014,24.3,52.43,49.44,32.56,48.83,74.84,32.59,53.15,46.09,40.19,40.81,46.55,39.85,38.66
43.18,23.93,58.67,38.47,23.16,45.76,41.61,33.96,35.33,69.22,26.91,42.63,57.67,35.77,26.45,47.93,38.91,37.51
52,39.13,124.85,35.16,28.56,56.65,57.28,45.78,41.64,88.77,37.18,56.7,61.62,53.89,31.53,59.27,54.28,45.9
78.76,64.21,147.81,67.62,64.68,93,101.24,89.03,86.17,203.01,93.82,96.8,137.83,99.95,74.1,71.97,112.57,115.84
37.8,28.72,85.14,32.78,21.08,43.57,45.16,33.54,42.43,69.15,38,45.28,55.8,45.4,55.49,41.93,51.25,50.76
47.73,29.73,95.13,42.23,25.16,49.53,52.61,37.05,48.22,96.53,62.05,41.28,61.54,47.19,56.91,39.74,53.45,51.5
48.97,38.55,80.1,34.69,28.42,90.89,49.29,30.78,42.63,90.95,87.11,44.61,68.3,49.05,44.08,53.71,51.85,61.99
51.07,32.34,103.69,19.34,43.4,86.24,59.06,43.42,56.48,83.53,77.85,55.82,93.5,58.17,39.97,56.35,63.73,72.98
69.39,52.17,149.01,49.56,50.47,105.67,88.64,58.84,92.8,114.55,79.09,77.56,112.16,68.38,72.95,75.43,92.54,92.31
83.75,54.22,157.23,66.63,55.93,122.83,94.58,68.81,102.16,163.58,146.65,83.07,135.72,81.91,110.8,78.84,104.86,106.34
67.84,35.18,127.6,56.6,41.64,106.96,70.94,56.4,75.83,114.73,115.86,70.93,82.76,60.6,84.83,64.68,77.72,83.45
48.79,16.17,99.04,38.39,28.25,73.18,50.75,38.13,44.26,71.7,72,57.41,44.41,40.81,57.02,48.66,47.02,49.86
42.92,30.09,103.54,32.21,22.56,84.94,50.66,51.16,43.39,61.68,75.6,44.52,41.88,42.54,53.13,49.48,42.05,51.57
62.31,54.51,106.35,41.69,32.07,81.25,65.6,47.57,49.92,112.9,82.63,56.33,52.35,54.67,41.39,60.89,55.99,67.33
64.55,56.94,128.66,49.59,41.27,92.31,74.14,51.37,70.53,89.09,109.86,46.74,62.81,63.7,65.09,65.58,77.49,84.73
57.93,42.76,138.38,58.35,51.49,101.59,72.98,57.47,71.25,75.96,139.39,45.36,66.12,55.46,74.99,46.07,61.19,68.26
57.29,57.06,127.43,55.64,36.41,109.87,80.02,61.95,71.18,127.58,103.1,73.64,49.55,72.31,72.56,56.03,69.55,71.1
80.96,80.89,121.64,50.02,50.08,119.59,100.24,68.32,79.32,159.85,125.41,78.08,76.62,83.88,79.5,68.38,82.38,94.62
63.41,55.93,124.5089683,58.98,42.85,130.71,83.05,75.76,87.78,147.38,122.41,60.72,89.4,77.26,75.64,52.61,100.56,98.61
52.99,59.09,131.61,34.89,35.57,94.48,68.78,55.95,58.54,125.53,70.88,64.85,70.03,64.48,50.69,57.11,51.22,59.53
41.22,33.45,108.22,43.91,31.24,78.34,38.08,40.52,52.4,111.54,89.72,43.65,44.1,45.85,43.21,39.62,43.35,47.55
37.3,34.7,97.92,30.65,25.68,91.55,42.68,46.36,53.79,64.16,97.87,50.57,31.11,33.63,44.12,31.01,36.46,34.38
43.9,48.44,116.75,46.33,35.69,97.79,61.06,59.35,62.53,110.93,138.73,56.99,46.92,50.6,62.02,41.63,47.48,59.15
53.86,52.12,119.04,50.58,32.09,121.26,68.41,60.2,69.88,64.24,97.95,55.78,44.51,59.28,60.74,45.66,49.78,49.74
37.8,41.16,109.49,36.44,25.52,82.93,48.74,45.96,49.21,53.39,76.66,45.72,41.25,37.01,49.47,37.03,35.98,36.52
30.86,30.67,94.75,30.51,24,84.65,41.59,34.33,44.09,77.37,69.22,35.75,38.22,28.27,53.82,49.56,36.23,36.1
68.34,68.35,136.53,44.07,48.78,101.97,76.99,70.06,70.97,71.22,77.26,66.91,46.8,59.85,71.38,55.53,68.03,73.22
73.06,68.47,136.85,57.77,40.94,109.37,84.31,67.12,74.11,64.38,75.08,85.09,42.38,68.24,56.58,53.32,63.78,62.2
66.4,60.66,143.58,62.02,43.53,113.43,77.19,66.7,69.5,64.47,61.76,64.54,46.61,55.39,71.21,50.83,63.31,56.52
67.98,46.49,148.53,51.45,43.98,115.07,71.65,58.77,68.71,67,53.59,52.59,42.69,43.24,73.27,50.08,59.67,49.58
59.24,55.21,135.18,58.32,58.71,116.4,78.72,76.32,70.56,73.72,65.48,60.14,89.84,54.79,80.79,53.47,67.07,58.06
51.75,50.92,117.87,47.82,41.49,104.72,68.82,73.22,63.29,66.54,54.25,62.84,71.39,55.92,68.28,41.76,47.01,47.03
48.14,43.37,135.61,47.82,52.47,101.89,56.94,76.12,47.67,56.98,71.77,49.24,60.42,44.56,60.84,49.86,45.19,50.12
38.5,29.98,146.05,55.91,47.66,115.27,51.99,86.2,51.44,41.12,83.95,40.8,114.33,47.08,55.36,29.57,43.02,51.63
40.1017399,39.74,130.2,51.91,43.22,105.93,57.67,74.23,55.57,45.69,69.56,51.99,89.49,53.88,78.77,50.02,45.93,47.7
36.29,41.53,94.15,42.01,36.79,105.24,57.35,72.06,51.39,66.04,65.1,56.66,88.6,56.59,80.99,50.63,46.01,46.71
53.51,53.8,139.08,47.57,44.99,102.95,69.41,62.54,68.32,76.15,65.27,58.71,130.08,56.2,100.33,57.58,62.05,63.73
76.09,72.32,144.86,61.89,53.57,113.73,92.48,70.09,95.67,97.94,83.73,73.94,140.68,73.61,91.28,68.03,77.59,78.99
59.7,37.73,165.41,59.43,52.4,94.51,73.17,49.51,85.32,76.56,60.36,42.59,145.17,45.76,76.16,46.49,67.41,66.06
55.35,53.58,148.61,68.76,49.88,107.87,83.52,65.85,66.23,70.97,56.47,54.33,158.51,57.61,103.07,48.64,68.08,70.92
104.86,59.16,170.72,62.4,52.01,124.17,93.56,68.52,80.94,81.95,60.33,60.29,170.41,65.83,88.3,59.95,77.25,76.17
55.44,47.01,150.53,63.4,35.13,111.02,88.91,71.47,79.73,91.75,60.49,79.45,95.9,78.98,76.02,49.6,70.49,54.18
53.22,49.02,108.0598942,35.28,31.91880212,74.91,72.47,57.02,47.83,62.44,46.89,72.43,51.89,71.87,26.68,49.43,41.58,54.76
16.06,15.51,55.47,19.24,22.75,41.95,24.91,31.25,16.09,34.14,28.95,22.78,28.3,22.51,26.93,26.29,17.22,17.38
17.37,14.98,72.6,25.47,32.39,52.09,24.51,40.27,18.29,33.74,41.4,22.2,15.77,21.63,33.79,30.14,18.15,23.61
21.17,23.88,104.16,41.74,49.77,89.64,47.39,69.79,30.55,36.38,125.88,32.75,47.42,42.69,47.39,29.96,37.13,46.9
28.08,23.93,128.94,45.51,48.46,105.6,47.76,85.43,37.7,139.41,145.42,35.15,53.36,43.39,70.51,30.03,33.50807852,44.86
20.95,20.61,94.04,20.44,36.05,82.82,36.72,68,27.35,29.25,98.78,26.59,36.41,34.39,49.49,26.86,26.32,35.12
25.57,19.69,75.19,31.01,34.54,62.86,27.19,49.4,18.49,82.32,70.27,23.01,28.58,28.36,28.58,20.83,32.03243087,31.79
20.32,17.66,72.79,27.46,26.05,55.33,22.49,43.12,19.2,60.64,52.05,19.26,21.57,22.08,17.49,29.76,22.7,23.7
47.61,28.52,90.18,35.09,39.66,80.28,43.16,52.24,39.14,69.85,39.55,33.89,51.8,32.67,27.26,35.65,36.92,34.28
38.18,23.57,82.97,30.11,33.04,79.3,35.03,47.04,33.27,32.61,5.7,32.37,75.09,30.57,23.11,29.61,34.11,30.97
34.42,25.0258053,74.83,15.61,29.76,62.38,30.09,43.76,21.52,33.14,5.22,27.8,77.95,29.45,21.34,29,30.91,29.34
37.59,26.16,80.5,32.09,33.98,67.99,36.59,52.43,33.25,42.04,11.79,26.28,107.91,33.58,21.53,28.89,33.91,34.66
